source,source_key,source_name,source_team,source_pos,slot,espn_id,espn_name,espn_pos,match_type,score
4for4_idp,dl:A'Shawn Robinson|TB,A'Shawn Robinson,TB,DT,DL,3054857,A'Shawn Robinson,DT,"exact name, slot agrees",1.000
4for4_idp,dl:A.J. Epenesa|PHI,A.J. Epenesa,PHI,DE,DL,4240585,AJ Epenesa,DE,"exact name, slot agrees",1.000
4for4_idp,db:A.J. Haulcy|IND,A.J. Haulcy,IND,S,DB,4905664,A.J. Haulcy,S,"exact name, slot agrees",1.000
4for4_idp,db:AJ Terrell|ATL,AJ Terrell,ATL,CB,DB,4239995,A.J. Terrell Jr.,CB,"exact name, slot agrees",1.000
4for4_idp,dl:Aaron Donald|LAR,Aaron Donald,LAR,DT,DL,16716,,,hand_reviewed,
4for4_idp,dl:Abdul Carter|NYG,Abdul Carter,NYG,DE,DL,4725996,Abdul Carter,DE,"exact name, slot agrees",1.000
4for4_idp,dl:Adam Butler|LV,Adam Butler,LV,DT,DL,2972342,Adam Butler,DT,"exact name, slot agrees",1.000
4for4_idp,dl:Adetomiwa Adebawore|IND,Adetomiwa Adebawore,IND,DT,DL,4427635,Adetomiwa Adebawore,DT,"exact name, slot agrees",1.000
4for4_idp,dl:Adin Huntington|CLE,Adin Huntington,CLE,DT,DL,4605792,Adin Huntington,DT,"exact name, slot agrees",1.000
4for4_idp,dl:Aeneas Peebles|BAL,Aeneas Peebles,BAL,DE,DL,4565311,Aeneas Peebles,DT,"exact name, slot agrees",1.000
4for4_idp,db:Ahkello Witherspoon|WAS,Ahkello Witherspoon,WAS,CB,DB,3122630,Ahkello Witherspoon,CB,"exact name, slot agrees",1.000
4for4_idp,dl:Aidan Hutchinson|DET,Aidan Hutchinson,DET,DE,DL,4372099,Aidan Hutchinson,DE,"exact name, slot agrees",1.000
4for4_idp,db:Akayleb Evans|CAR,Akayleb Evans,CAR,CB,DB,4244607,Akayleb Evans,CB,"exact name, slot agrees",1.000
4for4_idp,lb:Akeem Davis-Gaither|IND,Akeem Davis-Gaither,IND,LB,LB,3917142,Akeem Davis-Gaither,LB,"exact name, slot agrees",1.000
4for4_idp,dl:Akeem Mesidor|LAC,Akeem Mesidor,LAC,DE,DL,4429190,Akheem Mesidor,DE,"fuzzy name, slot agrees",0.963
4for4_idp,dl:Al-Quadin Muhammad|TB,Al-Quadin Muhammad,TB,DE,DL,3051942,Al-Quadin Muhammad,DE,"exact name, slot agrees",1.000
4for4_idp,dl:Albert Regis|JAX,Albert Regis,JAX,DT,DL,4612298,Albert Regis,DT,"exact name, slot agrees",1.000
4for4_idp,lb:Alex Anzalone|TB,Alex Anzalone,TB,LB,LB,3043107,Alex Anzalone,LB,"exact name, slot agrees",1.000
4for4_idp,db:Alex Austin|MIA,Alex Austin,MIA,CB,DB,4426599,Alex Austin,CB,"exact name, slot agrees",1.000
4for4_idp,dl:Alex Highsmith|PIT,Alex Highsmith,PIT,DE,DL,4037333,Alex Highsmith,DE,"exact name, slot agrees",1.000
4for4_idp,lb:Alex Singleton|DEN,Alex Singleton,DEN,LB,LB,2612151,Alex Singleton,LB,"exact name, slot agrees",1.000
