source,source_key,source_name,source_team,source_pos,slot,verdict,reason,resolved_espn_id,cand1_espn_id,cand1_name,cand1_pos,cand1_score,cand2_espn_id,cand2_name,cand2_pos,cand2_score,cand3_espn_id,cand3_name,cand3_pos,cand3_score
4for4_offense,jacksl1,Lamar Jackson,BAL,QB,QB,review,"ambiguous, team-disambiguated candidate shown first",3916387,3916387,Lamar Jackson,QB,1,4034849,Lamar Jackson,CB,1,,,,
4for4_offense,trubim1,Mitch Trubisky,TEN,QB,QB,review,best score 0.90 below auto floor 0.94,3039707,3039707,Mitchell Trubisky,QB,0.903,,,,,,,,
4for4_offense,gainwk1,Kenneth Gainwell,TB,RB,RB,review,best score 0.87 below auto floor 0.94,4371733,4371733,Kenny Gainwell,RB,0.867,4894654,Kenneth Grant,DT,0.759,,,,
4for4_offense,cartem2,Michael Carter,TEN,RB,RB,review,"ambiguous, team-disambiguated candidate shown first",4240657,4240456,Michael Carter II,CB,1,4240657,Michael Carter,RB,1,,,,
4for4_offense,jeffej1,Justin Jefferson,MIN,WR,WR,review,"ambiguous, team-disambiguated candidate shown first",4262921,4262921,Justin Jefferson,WR,1,5150249,Justin Jefferson,LB,1,,,,
4for4_offense,richaj2,JP Richardson,CHI,WR,WR,review,best score 0.73 below auto floor 0.94,4685183,4426926,Demani Richardson,S,0.733,4429084,Anthony Richardson Sr.,QB,0.71,,,,
4for4_offense,okonkc1,Chigoziem Okonkwo,WAS,TE,TE,review,best score 0.83 below auto floor 0.94,4360635,4360635,Chig Okonkwo,TE,0.828,,,,,,,,
4for4_offense,nowakr1,Riley Nowakowski,PIT,TE,TE,review,slot mismatch: source TE vs ESPN RB,4693370,4693370,Riley Nowakowski,RB,1,,,,,,,,
4for4_offense,ogleta1,Andrew Ogletree,IND,TE,TE,review,best score 0.93 below auto floor 0.94,4722908,4722908,Drew Ogletree,TE,0.929,,,,,,,,
4for4_offense,borrea1,Andres Borregales,NE,K,K,review,best score 0.88 below auto floor 0.94,4569923,4569923,Andy Borregales,K,0.875,,,,,,,,
4for4_offense,matsuk1,Kansei Matsuzawa,LV,K,K,unmatched,no candidate above floor,5158921,,,,,,,,,,,,
4for4_idp,db:Travis Hunter|JAX,Travis Hunter,JAX,CB,DB,review,slot mismatch: source DB vs ESPN WR,4685415,4685415,Travis Hunter,WR,1,,,,,,,,
4for4_idp,db:Daxton Hill|CIN,Daxton Hill,CIN,CB,DB,review,best score 0.84 below auto floor 0.94,4426422,4426422,Dax Hill,CB,0.842,4870805,Anthony Hill Jr.,LB,0.783,2525933,Troy Hill,CB,0.7
4for4_idp,db:Kamren Curl|LAR,Kamren Curl,LAR,S,DB,review,best score 0.84 below auto floor 0.94,4242154,4242154,Kam Curl,S,0.842,,,,,,,,
4for4_idp,db:Josh Metellus|MIN,Josh Metellus,MIN,S,DB,review,best score 0.93 below auto floor 0.94,4046537,4046537,Joshua Metellus,S,0.929,,,,,,,,
4for4_idp,db:Michael Jackson|CAR,Michael Jackson,CAR,CB,DB,review,best score 0.81 below auto floor 0.94,3917853,3917853,Mike Jackson,CB,0.815,4360761,Michael Wilson,WR,0.759,4242436,Theo Jackson,S,0.741
4for4_idp,db:Andru Phillips|NYG,Andru Phillips,NYG,CB,DB,review,best score 0.92 below auto floor 0.94,4431321,4431321,Dru Phillips,CB,0.923,4429067,Clark Phillips III,CB,0.786,2577466,Jordan Phillips,DT,0.759
4for4_idp,db:Camryn Bynum|IND,Camryn Bynum,IND,S,DB,review,best score 0.86 below auto floor 0.94,4035861,4035861,Cam Bynum,S,0.857,,,,,,,,
4for4_idp,db:DeAundre Alford|BUF,DeAundre Alford,BUF,CB,DB,review,best score 0.80 below auto floor 0.94,4401823,4401823,Dee Alford,CB,0.8,4690171,Deane Leonard,CB,0.643,,,,
4for4_idp,db:Patrick Surtain II|DEN,Patrick Surtain II,DEN,CB,DB,review,best score 0.85 below auto floor 0.94,4372012,4372012,Pat Surtain II,CB,0.846,4242207,Patrick Queen,LB,0.714,,,,
4for4_idp,db:DJ Turner|CIN,DJ Turner,CIN,CB,DB,review,"ambiguous, team-disambiguated candidate shown first",4572036,4572036,DJ Turner II,CB,1,4036211,DJ Turner,WR,1,,,,
4for4_idp,db:Cameron Lewis|CHI,Cameron Lewis,CHI,S,DB,review,best score 0.82 below auto floor 0.94,3916577,3916577,Cam Lewis,S,0.818,4243923,Cameron Sample,DE,0.741,4372026,Cameron Latu,TE,0.72
4for4_idp,db:Byron Murphy Jr.|MIN,Byron Murphy Jr.,MIN,CB,DB,review,"ambiguous, team-disambiguated candidate shown first",4038999,4570040,Byron Murphy II,DT,1,4038999,Byron Murphy Jr.,CB,1,,,,
4for4_idp,db:Marcus Harris|TEN,Marcus Harris,TEN,CB,DB,review,"ambiguous, team-disambiguated candidate shown first",4570469,4570469,Marcus Harris,CB,1,4573152,Marcus Harris,DT,1,,,,
4for4_idp,db:Jaylon Jones|CHI,Jaylon Jones,CHI,CB,DB,review,"ambiguous, team-disambiguated candidate shown first",4047655,4047655,Jaylon Jones,CB,1,4685145,Jaylon Jones,CB,1,,,,
4for4_idp,db:Sebastian Castro|PIT,Sebastian Castro,PIT,S,DB,unmatched,no candidate above floor,4426882,,,,,,,,,,,,
4for4_idp,db:Michael Carter II|PHI,Michael Carter II,PHI,S,DB,review,"ambiguous, team-disambiguated candidate shown first",4240456,4240456,Michael Carter II,CB,1,4240657,Michael Carter,RB,1,,,,
4for4_idp,db:Ethan Robinson|MIA,Ethan Robinson,MIA,CB,DB,review,ambiguous: 2 ESPN players score identically,4876614,3054857,A'Shawn Robinson,DT,0.828,4567095,Keilan Robinson,RB,0.828,4569586,Ty Robinson,DT,0.8
4for4_idp,db:Cam Lampkin|LAR,Cam Lampkin,LAR,CB,DB,unmatched,no candidate above floor,4427752,,,,,,,,,,,,
4for4_idp,db:Reese Taylor|DEN,Reese Taylor,DEN,CB,DB,review,best score 0.78 below auto floor 0.94,4371946,4693816,Trey Taylor,S,0.783,3040569,Trent Taylor,WR,0.75,,,,
4for4_idp,db:Derrick Canteen|TEN,Derrick Canteen,TEN,S,DB,review,best score 0.76 below auto floor 0.94,4429366,4260409,Derrick Barnes,LB,0.759,3043078,Derrick Henry,RB,0.714,4430153,Derrick McLendon,DE,0.71
4for4_idp,dl:Byron Young|LAR,Byron Young,LAR,DE,DL,review,"ambiguous, team-disambiguated candidate shown first",4875196,4875196,Byron Young,DE,1,4567123,Byron Young,DT,1,,,,
